id,Tweet,following,followers,actions,is_retweet,tweet_url
44,'⚫️ Pelapatatas Metaltex🛒: https://t.co/sZkTiVBhpY‼️MINI PRECIO‼️ 👁‍🗨  #Amazon #chollo #oferta #ganga #BlackFriday #primeday #ofertacular https://t.co/bVw5kcxjpw',10421,12015,0,False,https://twitter.com/OfertacularRL/status/1467064910878228482
45,'#AUTOZ OFERTA 5% de desconto para itens da LUK (cupom não cumulativo com preço a vista). Código  [ AUTOZLUK ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/2aLFleDjy4#automotivo #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467063640968810501
46,'#LENOVOBRASIL OFERTA R$ 150,00 de desconto em compras Acima de R$ 2.899,00 na categoria de Notebooks e desktop  na Lenovo. Código  [ AFF2021 ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/BhN3ZWHfSi#eletronicos #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467056090668011520
47,'🚨 BLACKFRIDAY NA BAT 🚨Amanhã, 26.11 é a blackfriday aqui na BAT e no app do lado e a nossa também! Aproveite milhares de cupons, promoções e produtos oficiais de kpop e fanmades exclusivos! Não percam! https://t.co/M1vWc8sjwt https://t.co/VpxCwX70J5',127,2043,14,True,https://twitter.com/Arteria_kpop/status/1467053451909685249
48,'@CasasBahia Comprei na nova loja na Blackfriday, quando fui trocar não tinha mais o produto, o que me restou foi estornar a compra. Agora tô esperando uma nova promoção para comprar uma nova tv',245,32,0,False,https://twitter.com/lucassfog/status/1467053320477065220
49,'@NewsAndLeaksBR Turbinei meu Pczin na BlackFriday só pra não passar sufoco na 5',213,96,1,False,https://twitter.com/Gustavinho9K/status/1467045171250483203
50,'#CONSUL OFERTA R$ 50,00 de desconto no produto Microondas Consul 32 Litros cor Inox Espelhado com Função Descongelar. Código  [ LOUCOS50 ]  Válido: 06/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/RNQpgvQnVj#eletrodomesticos #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467040995632111619
51,'ainda estamos em blackfriday no bitcoin',196,377,3,False,https://twitter.com/ASAPG4B/status/1467036618074775554
52,'#HERINGSTORE OFERTA 15% de desconto + frete grátis na Primeira Compra Código  [ BEMVINDO15 ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/yX0vdB4Ldg#modaeacessorios #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467033443481665542
53,'@icaroanalises10 Teto de gastos:Camisa: 40 contoBermuda: 50 contoCalça: 90 contoTênis humilde: 70 conto na promoçãoTênis/chuteira de marca: 140 conto na blackfriday da netshoes.',523,4807,1,False,https://twitter.com/osielcdb/status/1467030034959552513
54,'#CONSUL OFERTA R$ 50,00 OFF em máquina de Lavar Consul 16kg Dosagem Extra Econômica e Ciclo Edredom Código  [ LOUCOS50 ]  Válido: 06/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/lAYuXf0VcA#eletrodomesticos #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467025895705690113
55,'E a BlackFriday das criptos chegou! Com uma semana de atraso, mas esta aí.  #BTC #Ethereum #cripto https://t.co/2bL9doiGjJ',216,14,2,False,https://twitter.com/vribasr/status/1467024938175508486
56,'Charge publicada da sexta-feira na Gazeta de Alagoas . #humorgrafico #chargedodia #cartum #cartoon #ilustration #art #artwork #adnaelchargista #charge #blackfriday https://t.co/UrwaDjlV2v',663,424,2,True,https://twitter.com/Paulo_Rech/status/1467021055155965954
57,'#LAURIESPORTE OFERTA R$ 50,00 de desconto em PRODUTOS da SALOMON Código  [ 50SALOMON ]  Válido: 06/12/2021 00:00:00  Mais cupons em:  &gt;&gt; https://t.co/Z7c9Kc0bKn#esporteselazer #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467018342968045580
58,'#CONSUL OFERTA R$ 100,00 de desconto em Geladeira Consul Frost Free 342 litros cor Inox com Gavetão Hortifruti. Código  [ LOUCOS100 ]  Válido: 06/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/tssAcvDmHx#eletrodomesticos #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467010794386862083
59,'Vem ai o unboxing dos livros que comprei na #BlackFriday porém, vale dedicar um carinho especial a #SubFriday ❤ comprei na @americanas + @amazonBR + @submarino , ganhei mimo do @Alisson_FM1415 EEE aproveitei o prêmio que ganhei do @SpaceBooksBr para completar a festa 😍 https://t.co/jguRMAyWg3',73,4,21,True,https://twitter.com/libook_lopes/status/1467009096696143877
60,'@KmanuS88 Es hora de ir de compras, tremendo BlackFriday',467,28,0,False,https://twitter.com/AlexanderPradoP/status/1467005273600573444
61,'A RIOT GAMES FALOU Q O JIMIN USA CALCINHA  #BTSPermissionToDanceOnStageLA #justiceforkeyd #BlackFriday https://t.co/zRPff7QEAB',1014,168,0,False,https://twitter.com/Gustavineos/status/1466995350569459714
62,'#AUTOZ OFERTA 5% de desconto para itens da COFAP (cupom não cumulativo com preço a vista). Código  [ AUTOZCOFAP ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/2aLFleDjy4#automotivo #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466988141814898688
63,'Por aqui tudo normal ! 😂 Né não @kabumcombr  #kabumcovarde #BlackFriday #blackfraude https://t.co/yIVkVssHue',24,1,0,False,https://twitter.com/ttruck3r/status/1466984973458673667
64,'#CONSUL OFERTA R$ 50,00 de desconto em Máquina de Lavar Consul 16kg Dosagem Extra Econômica e Ciclo Edredom na Consul Código  [ LOUCOS50 ]  Válido: 06/12/2021 00:00:00  Mais cupons em:  &gt;&gt; https://t.co/lAYuXf0VcA#maisofertas #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466980610275164162
65,'CUPOM DE DESCONTO NIKE: 🚨D37004566🚨 GANHE MAIS 10% DE DESCONTO NO SITE OFICIAL NIKE, VÁLIDO PARA PÁGINA DE OFERTAS ACESSE: https://t.co/WZG0xnMT4l#Ad #LadyNight #BlackFriday https://t.co/5qOzb9111y',63,281,0,False,https://twitter.com/sanzdayo/status/1466974655366017025
66,'🇧🇷😮‍💨‼️ vem pra blackfriday do meu privacy suas putas https://t.co/5qcvGqMe3U',320,459,4,True,https://twitter.com/_fbeax/status/1466974625770967043
67,'Vem conferir nossa oferta imperdível de hoje!Garanta o seu agora no site https://t.co/xKr0MZfMW9*Ofertas válidas de 15/11/2021 a 26/11/2021 ou enquanto durarem os estoques. Consulte condições no site!#BlackFriday #UnidasSeminovos #VamosJuntos https://t.co/MvNRFP63Gy',921,468,54,True,https://twitter.com/luzineidemoura6/status/1466974082113679361
68,'#FOUNDIT OFERTA R$50 de desconto em compras acima de R$ 250,00 no FOUND IT! Código  [ 50REAIS ]  Válido: 02/10/2029 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/M6Me0BqjYF#maisofertas #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466965496859959298
69,'que ódio, devolveram a entrega aaaaa pior que comprei na blackfriday pra pedir de novo agora vai sair mais caro aaaa Amazon pq me odeia???',152,57,0,False,https://twitter.com/SteouFany/status/1466959901704564736
